U_B / V	U_A / V
24.60	-0.06
24.75	-0.06
24.90	-0.06
25.05	-0.06
25.20	-0.06
25.35	-0.06
25.35	-0.05
25.50	-0.05
25.65	-0.04
25.80	-0.03
25.95	-0.02
26.10	-0.02
26.25	-0.01
26.40	-0.01
26.55	0.00
26.70	0.00
26.85	0.00
27.00	-0.01
27.15	-0.01
27.30	-0.01
27.45	-0.02
27.60	-0.02
27.60	-0.02
27.75	-0.03
28.05	-0.03
28.20	-0.03
28.35	-0.04
28.50	-0.04
28.65	-0.04
28.80	-0.04
28.95	-0.05
29.10	-0.05
29.25	-0.05
29.25	-0.05
29.40	-0.06
29.55	-0.05
29.70	-0.06
29.85	-0.05
30.00	-0.06
30.00	-0.05
30.00	-0.06
30.00	-0.05
30.00	-0.06
29.85	-0.05
29.85	-0.06
30.00	-0.05
29.85	-0.06
29.85	-0.05
29.85	-0.06
30.00	-0.06
30.00	-0.06
30.00	-0.06
30.00	-0.06
30.00	-0.05
29.85	-0.06
30.00	-0.06
29.85	-0.06
29.85	-0.05
29.85	-0.06
0.15	-0.07
0.15	-0.07
0.30	-0.07
0.30	-0.07
0.60	-0.07
0.60	-0.07
0.90	-0.07
1.05	-0.07
1.05	-0.07
1.35	-0.07
1.50	-0.07
1.65	-0.07
1.80	-0.07
1.95	-0.07
1.95	-0.07
2.25	-0.07
0.15	-0.07
0.30	-0.06
0.30	-0.07
0.45	-0.07
0.60	-0.07
0.00	-0.07
0.00	-0.07
0.15	-0.07
0.00	-0.07
0.00	-0.07
0.15	-0.07
0.00	-0.07
0.30	-0.07
0.15	-0.07
0.15	-0.07
0.15	-0.07
-0.15	-0.07
0.15	-0.07
0.15	-0.07
0.00	-0.07
0.00	-0.07
0.15	-0.07
0.00	-0.07
0.15	-0.07
0.15	-0.07
0.15	-0.07
0.15	-0.07
0.15	-0.07
0.15	-0.07
0.15	-0.07
0.15	-0.07
0.15	-0.07
0.15	-0.07
0.00	-0.07
0.15	-0.07
0.15	-0.07
0.00	-0.07
0.00	-0.07
0.15	-0.07
0.15	-0.07
0.00	-0.07
0.15	-0.07
0.00	-0.07
0.15	-0.07
0.15	-0.07
0.00	-0.07
0.15	-0.07
0.15	-0.07
0.00	-0.07
0.15	-0.07
0.15	-0.07
0.00	-0.07
0.15	-0.07
0.00	-0.07
0.15	-0.07
0.15	-0.07
0.00	-0.07
0.00	-0.07
0.15	-0.07
0.15	-0.07
0.00	-0.07
0.15	-0.07
0.15	-0.07
0.15	-0.07
0.45	-0.07
0.15	-0.07
0.00	-0.07
0.30	-0.07
0.15	-0.07
0.15	-0.07
0.00	-0.07
0.15	-0.07
0.00	-0.07
0.00	-0.07
0.15	-0.07
0.00	-0.07
0.15	-0.07
0.15	-0.07
0.15	-0.07
0.00	-0.07
0.00	-0.07
0.15	-0.07
0.00	-0.07
0.15	-0.07
0.15	-0.07
0.15	-0.07
0.15	-0.07
0.00	-0.07
0.15	-0.07
0.15	-0.07
0.00	-0.07
0.30	-0.07
0.00	-0.07
0.00	-0.07
0.00	-0.07
0.15	-0.07
0.15	-0.07
0.15	-0.07
0.15	-0.07
0.15	-0.07
0.15	-0.07
0.15	-0.07
0.15	-0.07
0.00	-0.07
0.15	-0.07
0.15	-0.07
0.00	-0.07
0.00	-0.07
0.00	-0.07
0.00	-0.07
0.15	-0.07
0.00	-0.07
0.15	-0.07
0.00	-0.07
0.15	-0.07
0.00	-0.07
0.00	-0.07
0.15	-0.07
0.00	-0.07
0.00	-0.07
0.00	-0.07
0.00	-0.07
0.00	-0.07
0.00	-0.07
0.00	-0.07
0.00	-0.07
0.15	-0.07
0.15	-0.07
0.00	-0.07
0.15	-0.07
0.15	-0.07
0.15	-0.07
0.15	-0.07
0.15	-0.07
0.00	-0.07
0.00	-0.07
0.15	-0.07
0.15	-0.07
0.15	-0.07
0.15	-0.07
0.15	-0.07
