n	t	UB	dUB	Uboffset	dUBoffset	N	dN	Nunten	dNunten	Nreal	dNreal	Breal	dBreal	eta	deta	eps	deps	ys	dys	beta	dbeta	etaz	detaz	fermi	dfermi	y	dy	y2	dy2
11	40	-76	0.1	7.03	0.09	218	14.76482306	51.8	3.218695388	166.2	15.11158496	83.03	0.13453624	1.095996	0.001775878	1.483646599	0.001311873	10.10987515	0.459710341	0.738717698	0.001363595	-0.098810007	0.000182393	0.721495097	0.000437939	11.90225089	0.541224259	1.306205721	0.059405773
12	40	-84	0.1	7.03	0.09	161	12.68857754	51.8	3.218695388	109.2	13.09045454	91.03	0.13453624	1.201596	0.001775878	1.56327635	0.00136501	7.624549764	0.457046954	0.768639531	0.001319447	-0.094963501	0.000163014	0.731157051	0.000421822	8.916796743	0.534515756	0.934580243	0.056027499
13	40	-92.2	0.1	7.03	0.09	160	12.64911064	51.8	3.218695388	108.2	13.05220288	99.23	0.13453624	1.309836	0.001775878	1.647929109	0.001411535	7.080043183	0.427071747	0.794837589	0.001274687	-0.091833479	0.000147274	0.739088608	0.00040531	8.235456021	0.496771959	0.826734681	0.049872714
14	40	-100.2	0.1	7.03	0.09	119	10.90871211	51.8	3.218695388	67.2	11.37365377	107.23	0.13453624	1.415436	0.001775878	1.733049067	0.001450416	5.234004461	0.442947306	0.816731636	0.00123177	-0.089371707	0.000134788	0.745370602	0.000389567	6.06244705	0.513059821	0.585449993	0.049547504
15	40	-108.1	0.1	7.03	0.09	70	8.366600265	51.8	3.218695388	18.2	8.964373932	115.13	0.13453624	1.519716	0.001775878	1.819213215	0.001483515	2.565740178	0.631877764	0.835369921	0.001190372	-0.087377698	0.00012451	0.750487274	0.000374565	2.961699614	0.729393065	0.276023944	0.067978034
16	40	-116	0.1	7.03	0.09	64	8	51.8	3.218695388	12.2	8.623224455	123.03	0.13453624	1.623996	0.001775878	1.907187198	0.001512185	1.984681294	0.70140916	0.851513686	0.001150163	-0.085721113	0.000115786	0.754757414	0.0003602	2.284478538	0.807361134	0.205959377	0.072788513
17	40	-124	0.1	7.03	0.09	60	7.745966692	51.8	3.218695388	8.2	8.38808679	131.03	0.13453624	1.729596	0.001775878	1.997874451	0.00153741	1.54046024	0.787897827	0.865718063	0.001110821	-0.084314633	0.000108186	0.758396631	0.00034635	1.768895984	0.904735743	0.154531466	0.079038119
18	40	-131.9	0.1	7.03	0.09	44	6.633249581	51.8	3.218695388	0	7.372923436	138.93	0.13453624	1.833876	0.001775878	2.088803769	0.001559142	0	0	0.877955138	0.001073443	-0.083139443	0.000101651	0.7614471	0.000333376	0	0	0	0
19	40	-140.1	0.1	7.03	0.09	66	8.124038405	51.8	3.218695388	14.2	8.73842091	147.13	0.13453624	1.942116	0.001775878	2.184448342	0.001578871	1.829513842	0.562925728	0.889064741	0.001036263	-0.082100546	9.56935E-05	0.764151152	0.000320639	2.092888364	0.643963961	0.172542246	0.053089841
20	40	-148.1	0.1	7.03	0.09	41	6.403124237	51.8	3.218695388	0	7.166589147	155.13	0.13453624	2.047716	0.001775878	2.278846378	0.001595761	0	0	0.898575709	0.001001607	-0.081231553	9.05456E-05	0.766418288	0.000308909	0	0	0	0
21	40	-155.8	0.1	7.03	0.09	54	7.348469228	51.8	3.218695388	2.2	8.022468448	162.83	0.13453624	2.149356	0.001775878	2.370597227	0.001610141	0.657095174	1.198073983	0.906672789	0.000969758	-0.080506112	8.61076E-05	0.768314618	0.000298242	0.749650317	1.366828707	0.058747788	0.107114161
